,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
杭锦旗,-0.2590737044811249,-1.4522490501403809,-0.2257038652896881,-0.9290610551834106,1.420354962348938,0.9383836984634399,0.9112220406532288,0.3137761950492859,-0.7411782145500183,-1.0380032062530518,1.1955537796020508,2.0168724060058594,0.039850641041994095,0.9438208937644958,-0.7511599659919739,-1.6458966732025146
碱柜,-0.1921219527721405,-1.5280191898345947,-0.2606370747089386,-0.9397832155227661,1.4699642658233643,0.8372660875320435,0.9820235967636108,0.255351185798645,-0.8151252269744873,-0.8811337947845459,1.1041349172592163,2.0795936584472656,0.1157163605093956,0.9889125227928162,-0.8129865527153015,-1.5799185037612915
巴彦高勒,-0.27477115392684937,-1.330873727798462,-0.3131934702396393,-1.1882445812225342,1.7809399366378784,1.2910306453704834,0.8072000741958618,0.8622617721557617,-0.7983593344688416,-1.388069987297058,1.518419861793518,2.119941234588623,-0.121646948158741,1.0736627578735352,-0.9037919044494629,-1.974737524986267
元宝山,-0.46990931034088135,0.8966988921165466,0.06722244620323181,0.3089805245399475,-0.7981817722320557,1.5843254327774048,0.4330381453037262,0.7959275841712952,-1.6126782894134521,1.4184751510620117,0.2389906346797943,0.5666981935501099,0.5783555507659912,1.0922642946243286,-0.6377760767936707,-2.6850578784942627
马林,-0.47299274802207947,0.7731865644454956,0.030202852562069893,0.45302677154541016,-0.461551696062088,1.4327523708343506,0.4035302400588989,0.7691181898117065,-1.8100959062576294,1.517240285873413,0.20802056789398193,0.6232972741127014,0.35128721594810486,0.8756885528564453,-0.6390470266342163,-2.477248191833496
热水,-0.3842126429080963,1.0403486490249634,0.04702585190534592,0.2297283411026001,-0.8383283615112305,1.7228904962539673,0.57779860496521,0.8191015720367432,-1.5262694358825684,1.3408966064453125,0.24309982359409332,0.41951993107795715,0.6566552519798279,1.0693345069885254,-0.6588958501815796,-2.702326536178589
郑州,-0.37206965684890747,0.6157844662666321,-0.43206146359443665,0.41672977805137634,1.4039312601089478,-0.2460825890302658,-0.0846804603934288,0.07508454471826553,-0.42049863934516907,0.29786911606788635,0.811487078666687,0.04707738757133484,-0.6655283570289612,2.9260334968566895,-0.3437831699848175,-0.7258461117744446
焦作,-0.5233321785926819,0.18173322081565857,-0.3868715763092041,0.7711668014526367,0.9120051264762878,-0.06185661628842354,-1.17875337600708,0.5176495909690857,-0.6091043949127197,-0.24818037450313568,1.4914631843566895,1.7891042232513428,-0.6834948062896729,4.376040935516357,-0.368318110704422,-1.4975697994232178
郑州东,-1.1966159343719482,0.1559336632490158,0.25351518392562866,-0.0641007348895073,1.6567485332489014,-0.2787300944328308,-0.41219547390937805,-0.0856083482503891,-0.16965951025485992,0.1930539458990097,-0.09278907626867294,0.3979833424091339,-1.2655194997787476,1.7959089279174805,-0.7842785120010376,-0.9601582884788513
郑州西,-1.1284819841384888,0.4047112762928009,0.20391757786273956,0.31198278069496155,1.8679155111312866,0.2665378749370575,-0.4415014088153839,0.5539057850837708,-0.33406463265419006,0.4077610671520233,0.47911393642425537,0.001307796686887741,-1.1364411115646362,2.826016902923584,-0.5400264859199524,-1.2860195636749268
许昌东,-0.9812140464782715,-0.08555179089307785,-0.1192982941865921,-0.017485780641436577,1.8952610492706299,0.018922073766589165,-0.22761793434619904,-0.17953898012638092,-0.4083000421524048,-0.5558976531028748,0.15388788282871246,0.3394196033477783,-0.9072824716567993,3.351912498474121,-0.6314245462417603,-0.8374782800674438
洛阳龙门,-0.944134533405304,0.5676875710487366,0.5764559507369995,0.053438492119312286,1.869754672050476,0.6352018713951111,-0.5860758423805237,0.7163191437721252,0.023861834779381752,0.7111137509346008,0.9603394865989685,-0.2050389051437378,-1.1914600133895874,2.8827929496765137,-0.6472556591033936,-1.4275568723678589
漯河西,-0.789503812789917,-0.37027570605278015,-0.2339993268251419,-0.31734880805015564,1.9920778274536133,-0.005589974112808704,-0.1475859135389328,-0.32118546962738037,-0.5256047248840332,-0.6997714042663574,0.6403846144676208,0.21873238682746887,-1.186169981956482,3.2746684551239014,-0.7211546301841736,-0.4822244644165039
驻马店西,-0.7284414768218994,-0.49671995639801025,-0.041590094566345215,-0.33777669072151184,1.8762483596801758,-0.03698254004120827,0.02221105806529522,-0.13552069664001465,-0.3891070783138275,-0.7189334034919739,0.3659040927886963,0.304525226354599,-1.076737642288208,3.486889600753784,-0.5224989056587219,-0.8362978100776672
西安北,-0.4475969970226288,1.2342028617858887,0.674954891204834,-0.3658284544944763,1.064888834953308,0.6400012969970703,-0.7527754902839661,0.373155415058136,0.36633968353271484,0.868213951587677,0.8341591954231262,-0.3563494384288788,-0.2667454481124878,2.047574758529663,-0.8928165435791016,-1.8947970867156982
渑池南,-0.9935262203216553,0.5809326767921448,0.5129348635673523,0.179194375872612,1.980446696281433,0.483521044254303,-0.48496925830841064,0.7372048497200012,-0.050293657928705215,0.7835386991500854,1.0093976259231567,-0.13633397221565247,-1.1641284227371216,2.8870410919189453,-0.7359750270843506,-1.4410167932510376
巩义南,-1.19013249874115,0.3840378224849701,0.3806978762149811,0.23777315020561218,1.9721707105636597,0.31617864966392517,-0.34282824397087097,0.7786239385604858,-0.2830826938152313,0.41998782753944397,0.5922194719314575,0.028600474819540977,-1.3047581911087036,2.897040367126465,-0.5307253003120422,-1.2967288494110107
