,0,1,2,3,4,5,6,7
杭锦旗,1.4744154214859009,-0.45881691575050354,-0.3670600652694702,-0.19207249581813812,1.5670387744903564,-0.1736007183790207,-3.0719833374023438,-2.3928651809692383
碱柜,1.2716615200042725,-0.4406948685646057,-0.3507035970687866,-0.31865453720092773,1.5216412544250488,-0.2385822832584381,-3.161945343017578,-2.4031219482421875
巴彦高勒,2.101658344268799,-0.21877051889896393,-0.21757151186466217,-0.021113373339176178,2.1725332736968994,0.1178557351231575,-3.817582130432129,-2.7440907955169678
元宝山,0.03523428738117218,-0.1009548082947731,-0.9276806116104126,-1.7848960161209106,2.784543991088867,-2.8774988651275635,-1.3156014680862427,-0.04172215610742569
马林,0.2508394718170166,-0.2878100275993347,-1.0738030672073364,-1.7044668197631836,2.5791194438934326,-2.7147233486175537,-1.0079975128173828,0.24375903606414795
热水,0.060290977358818054,-0.16919676959514618,-0.7815884351730347,-1.7759795188903809,2.888869524002075,-2.8690106868743896,-1.4561491012573242,-0.12182629853487015
郑州,2.088834762573242,0.9623607397079468,-1.8570557832717896,-1.7459498643875122,1.4519391059875488,1.2723671197891235,-0.25492221117019653,-0.21135203540325165
焦作,4.140237331390381,-0.2733019292354584,-2.5166454315185547,-2.5135412216186523,1.8945690393447876,1.1959192752838135,-0.4976145625114441,-0.8149744272232056
郑州东,1.4478540420532227,1.6722900867462158,-1.0443958044052124,-1.7215070724487305,1.8457430601119995,0.7933011651039124,-0.16262179613113403,0.9080761671066284
郑州西,2.405341148376465,1.5579795837402344,-1.0887473821640015,-1.9724477529525757,1.9390428066253662,1.5194308757781982,-0.4097253680229187,0.7239395976066589
许昌东,1.8375988006591797,1.5399457216262817,-1.4635556936264038,-2.5452935695648193,2.2493975162506104,1.6197538375854492,-0.6183750629425049,0.09665930271148682
洛阳龙门,2.730463981628418,1.5825434923171997,-0.9677790403366089,-1.40594482421875,2.310208797454834,1.7293493747711182,-0.8120770454406738,1.074646234512329
漯河西,1.4896317720413208,1.661072015762329,-1.6015369892120361,-2.7042667865753174,2.496532440185547,1.484061598777771,-0.7344080805778503,-0.32138875126838684
驻马店西,1.6262751817703247,2.0077171325683594,-1.5021907091140747,-2.686856508255005,2.539975166320801,1.641879916191101,-0.7915037274360657,-0.20958514511585236
西安北,2.2976229190826416,1.5261695384979248,-0.6381147503852844,0.02887701988220215,1.6331720352172852,1.2406672239303589,-0.9729316830635071,0.9265127778053284
渑池南,2.7384519577026367,1.5339490175247192,-1.0958009958267212,-1.4643832445144653,2.3649401664733887,1.7902088165283203,-0.7644532322883606,0.9825987815856934
巩义南,2.619988441467285,1.6413706541061401,-0.9627780914306641,-1.9675447940826416,2.156254291534424,1.5564968585968018,-0.40672215819358826,0.8425799608230591
武汉,0.6191076040267944,3.028017997741699,-1.8695104122161865,-2.565542221069336,2.3910608291625977,0.8389543890953064,-1.0388500690460205,-0.6968432068824768
民权,2.2094132900238037,0.4800037443637848,-2.4887564182281494,-2.7922122478485107,1.0393433570861816,1.6169166564941406,-0.9042885303497314,1.1124517917633057
洛阳,3.767947196960449,1.5339992046356201,-2.471179723739624,-1.0865528583526611,1.8978625535964966,0.6557363271713257,-0.28718528151512146,-1.2518069744110107
开封,2.4050660133361816,0.6844061613082886,-2.665679931640625,-2.4907054901123047,0.9070393443107605,1.757169485092163,-1.038920521736145,1.0454057455062866
汝州,3.8388357162475586,0.8883842825889587,-1.8022589683532715,-2.115612745285034,1.3262672424316406,1.461807370185852,-0.6100814938545227,-1.5138860940933228
新乡,3.8334178924560547,0.9323379993438721,-2.8042471408843994,-2.1291236877441406,2.2533040046691895,0.3798840343952179,0.20461079478263855,-0.24833771586418152
巩义,3.058706521987915,0.8167822360992432,-1.7307566404342651,-1.4708259105682373,1.3198401927947998,0.9242064952850342,-0.2155209630727768,-0.7631773948669434
许昌,2.0433168411254883,0.7450063824653625,-2.0801913738250732,-3.2032313346862793,0.8626241087913513,0.7787075042724609,-0.3884921967983246,-1.1977461576461792
宝丰,3.6647884845733643,0.71341472864151,-2.187842607498169,-2.2561087608337402,0.9654200077056885,1.377027988433838,-0.5559080243110657,-1.1460893154144287
偃师,3.1339919567108154,0.7535693645477295,-1.6213443279266357,-1.5017917156219482,1.248077154159546,1.0574402809143066,-0.29726141691207886,-0.7428938746452332
漯河,2.5900497436523438,0.4648313820362091,-2.3720948696136475,-3.262411594390869,0.7117227911949158,0.8800269961357117,-0.4623803198337555,-1.3985289335250854
兰考,2.402372360229492,0.6212968230247498,-2.454349994659424,-2.3374381065368652,0.7357584238052368,1.5878225564956665,-0.8995361924171448,0.9583072662353516
长葛,1.7546932697296143,0.3300585448741913,-1.475926160812378,-2.00008487701416,0.6719372272491455,0.8660627603530884,-0.25294265151023865,-0.46115097403526306
南阳,3.088991641998291,1.2048200368881226,-2.1745944023132324,-2.1468961238861084,1.04169762134552,2.202235698699951,-1.5917035341262817,-1.8493937253952026
商丘,1.8497767448425293,1.6041420698165894,-2.801513910293579,-3.441375494003296,1.0251177549362183,1.5827419757843018,-1.0499409437179565,1.66721510887146
关林,3.433363199234009,0.2429245114326477,-1.9298748970031738,-2.051018714904785,1.0012675523757935,1.494718074798584,-0.677888035774231,-0.8278215527534485
安阳,3.4353253841400146,1.4573822021484375,-3.0686192512512207,-2.0429370403289795,2.3596174716949463,0.2508713901042938,0.16770793497562408,-0.38836023211479187
邢台,2.475708246231079,1.332711100578308,-3.4307098388671875,-1.823374629020691,2.721386671066284,0.2730294167995453,-0.2617763578891754,-0.2110595703125
