,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
杭锦旗,1.0190998315811157,0.08333183079957962,1.64665949344635,0.3360051214694977,-0.026827815920114517,0.1029636412858963,-0.021442875266075134,-0.7554137110710144,-0.5965743064880371,0.4013928771018982,-0.3827683925628662,-0.10445857793092728,0.003507026704028249,-1.0747244358062744,-0.35621437430381775,-1.1207557916641235
碱柜,1.0264408588409424,0.13264679908752441,1.6923595666885376,0.3650459349155426,-0.024225937202572823,0.049950405955314636,-0.019328439608216286,-0.7691362500190735,-0.5647843480110168,0.37068551778793335,-0.3601210415363312,-0.1446254998445511,0.04969409108161926,-1.1121751070022583,-0.3611094653606415,-1.1928057670593262
巴彦高勒,1.5909547805786133,-0.04514463618397713,2.2925381660461426,0.6075998544692993,0.04814775660634041,-0.06484900414943695,0.3328658938407898,-1.005927324295044,-0.8378706574440002,0.8080865144729614,-0.5939432382583618,-0.13771186769008636,-0.1854262351989746,-1.2884109020233154,-0.5349515676498413,-1.8849250078201294
元宝山,1.9408756494522095,-0.902274489402771,1.1142750978469849,-0.23077669739723206,-0.1008082926273346,-0.11290017515420914,-0.49182260036468506,0.22864152491092682,-1.031488299369812,-0.9357067942619324,-0.2789565324783325,-0.441504567861557,0.8502110838890076,-1.1986629962921143,-1.155569076538086,-0.19617503881454468
马林,1.8739726543426514,-0.7850050926208496,1.0729674100875854,-0.03257766366004944,-0.2380271553993225,-0.17170675098896027,-0.33919838070869446,0.241075798869133,-0.9984573125839233,-1.1324265003204346,-0.3324016034603119,-0.4410080909729004,0.7601814866065979,-1.175728440284729,-1.0407540798187256,-0.03115781582891941
热水,2.0347890853881836,-0.9083767533302307,0.9988369345664978,-0.4142531454563141,0.019951488822698593,-0.005406666547060013,-0.5377421975135803,0.30121731758117676,-1.0202016830444336,-0.8194371461868286,-0.42866039276123047,-0.43435138463974,0.9279834032058716,-1.208484172821045,-1.2571499347686768,-0.2671506702899933
郑州,1.4604732990264893,0.99555903673172,-0.2629801034927368,0.6002247333526611,-1.5513359308242798,1.1256015300750732,0.8257558941841125,0.5883836150169373,0.9071139097213745,-0.6038625836372375,-0.2732946574687958,1.3186851739883423,-0.19013461470603943,1.0690984725952148,-0.9850606322288513,-1.996963381767273
焦作,1.9045881032943726,0.2250463366508484,0.03235304728150368,0.11977733671665192,-2.1752419471740723,1.5597355365753174,-0.14481377601623535,-0.31221744418144226,1.3973824977874756,-1.423736333847046,0.11350630968809128,0.7257055044174194,0.3015918433666229,0.7095891833305359,-0.4890913665294647,-2.4672114849090576
郑州东,2.254364013671875,1.238350749015808,-0.46821677684783936,0.7861814498901367,-1.6246312856674194,1.2722363471984863,1.071051001548767,0.6256507635116577,0.4538133442401886,-0.04016884043812752,-0.03954509645700455,1.5571094751358032,-0.11619658023118973,0.3343743085861206,-0.7932847738265991,-0.2968481779098511
郑州西,1.924591064453125,0.7864775657653809,-0.07685671746730804,0.6957452297210693,-1.5089495182037354,1.8219280242919922,0.05835350230336189,0.26671895384788513,1.0134961605072021,-0.6178030967712402,-0.41565924882888794,1.3977463245391846,0.208608016371727,0.35942837595939636,-0.29906725883483887,-0.8187969326972961
许昌东,2.532642126083374,0.8649556040763855,-0.020120322704315186,0.7971763610839844,-2.4696004390716553,1.7926303148269653,0.3765861392021179,0.6339154243469238,0.3931521773338318,-0.9707071781158447,-0.14356191456317902,0.982917070388794,-0.3468933701515198,0.5406181812286377,-0.6610816121101379,-0.7825783491134644
洛阳龙门,2.4605836868286133,1.1992888450622559,-0.32073089480400085,0.7000312805175781,-1.3166446685791016,2.1116557121276855,0.7585298418998718,0.32564952969551086,1.1706359386444092,0.013978293165564537,-0.3419276475906372,1.7026299238204956,0.526468813419342,0.7976403832435608,-0.6212911605834961,-0.7668498158454895
漯河西,2.7701878547668457,0.8244768977165222,0.3838160037994385,0.9954109787940979,-2.8465919494628906,1.7800428867340088,0.6354789733886719,0.8761686682701111,0.3559553921222687,-0.8596669435501099,-0.06655771285295486,0.7678861021995544,-0.468386709690094,0.8495281934738159,-0.75759357213974,-0.7889994978904724
驻马店西,2.77873158454895,0.6153326034545898,0.6771575212478638,1.130896806716919,-3.035818338394165,1.7385997772216797,0.7897232174873352,0.937038242816925,0.0816250741481781,-0.7614654302597046,0.01255059614777565,0.5237181186676025,-0.5200249552726746,0.9260625839233398,-0.6085329651832581,-0.7520536184310913
西安北,1.6993696689605713,0.8336339592933655,0.7863153219223022,0.0872485563158989,-0.6066677570343018,1.4973963499069214,0.7338877320289612,0.06374791264533997,0.6978758573532104,0.5540806651115417,-0.5741754770278931,1.6575310230255127,1.3007460832595825,1.2481071949005127,-0.1784449815750122,-0.39596012234687805
