,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
杭锦旗,-0.19092893600463867,-0.2600550651550293,0.9479905366897583,0.27905452251434326,0.3633589446544647,-0.5857950448989868,0.11071640253067017,0.3549530804157257,0.05261953920125961,-0.15304423868656158,0.026671212166547775,-0.30955007672309875,0.004981586243957281,0.25097960233688354,-0.7493994832038879,-0.21949464082717896,-0.5684894323348999,0.06602532416582108,0.05404558777809143,-0.748469889163971,-1.4209634065628052,-0.3587975800037384,0.10117873549461365,0.3868652284145355,-0.27064135670661926,0.6823463439941406,-0.29340672492980957,0.523245096206665,0.38019925355911255,-0.07555495947599411,-0.7150170803070068,0.6265548467636108
碱柜,-0.15850836038589478,-0.25822731852531433,0.9710213541984558,0.26499781012535095,0.3560158610343933,-0.6537550687789917,0.09029971063137054,0.3750656545162201,0.07612894475460052,-0.1442650407552719,0.05392778292298317,-0.31194552779197693,0.047597985714673996,0.24654844403266907,-0.7299419641494751,-0.26804396510124207,-0.6340125203132629,0.07792547345161438,0.08414816856384277,-0.7528843879699707,-1.5023303031921387,-0.36585137248039246,0.13710451126098633,0.35324668884277344,-0.32167476415634155,0.6993918418884277,-0.33688288927078247,0.4313247799873352,0.4016510844230652,-0.11092516034841537,-0.7361498475074768,0.6144095659255981
巴彦高勒,-0.18571756780147552,-0.3192802667617798,1.6133124828338623,0.15400473773479462,0.43071454763412476,-0.894694447517395,0.11515648663043976,0.4382741451263428,0.30017682909965515,0.06304991245269775,0.12960439920425415,-0.4043210744857788,0.03213676065206528,0.39404600858688354,-1.0511558055877686,-0.3030683696269989,-1.0558147430419922,0.047494206577539444,0.2030465453863144,-1.1124845743179321,-2.0746428966522217,-0.3147912621498108,0.054753225296735764,0.3741302490234375,-0.5647410154342651,0.8301583528518677,-0.5360168218612671,0.5316305756568909,0.6773542165756226,-0.09418509155511856,-0.9188878536224365,0.7641513347625732
元宝山,-0.6874809265136719,-0.04091627895832062,0.22852422297000885,1.0627481937408447,0.39827677607536316,-0.7654436230659485,0.8047251105308533,-0.10426736623048782,-1.2099847793579102,-0.27565720677375793,1.0516380071640015,0.3265593647956848,-0.02893105521798134,-0.12456890940666199,-0.641570508480072,0.06526008248329163,-1.010496735572815,-0.30524569749832153,-0.25833073258399963,-0.4087969660758972,-0.5759760737419128,-1.1640510559082031,-0.4530859887599945,0.2032339721918106,0.6865646243095398,0.44098204374313354,0.06655432283878326,0.5277687311172485,0.6964878439903259,0.6534586548805237,-0.19591520726680756,-0.013223424553871155
马林,-0.7304918169975281,-0.04147939011454582,0.24556131660938263,1.078548789024353,0.2665696442127228,-0.7212547659873962,0.7589127421379089,-0.16849757730960846,-1.1098581552505493,-0.24570445716381073,1.0351626873016357,0.2790853977203369,0.047996051609516144,-0.17856909334659576,-0.654403030872345,0.07809761166572571,-0.8550860285758972,-0.2698148190975189,-0.25430628657341003,-0.3713267147541046,-0.4344000816345215,-1.116226077079773,-0.5040414929389954,0.1278335452079773,0.6786550283432007,0.3712109923362732,-0.03664499148726463,0.5777921676635742,0.7782220244407654,0.6819831132888794,-0.19521008431911469,-0.05605835095047951
热水,-0.6275935173034668,-0.03864819556474686,0.2254985123872757,1.014567494392395,0.48349037766456604,-0.8250062465667725,0.8813995122909546,-0.06603997945785522,-1.2169792652130127,-0.24275925755500793,1.0593664646148682,0.3856332004070282,-0.04906188324093819,-0.15523181855678558,-0.5783719420433044,0.025977522134780884,-1.0513781309127808,-0.3193507492542267,-0.30872878432273865,-0.3899063766002655,-0.6854556202888489,-1.2139952182769775,-0.4571201503276825,0.2080758661031723,0.7144603133201599,0.40192681550979614,0.10176137089729309,0.5166982412338257,0.6226111054420471,0.6381922364234924,-0.1777893304824829,0.11212901771068573
郑州,0.16927796602249146,0.8911125063896179,1.312632441520691,0.5867539644241333,0.6579970121383667,0.637833297252655,1.9969969987869263,-2.1913702487945557,0.5688186287879944,0.6454960703849792,-0.03594507649540901,-0.8478010892868042,0.3030048608779907,-0.07940201461315155,-0.7427375316619873,1.4753326177597046,-1.6531989574432373,-0.2867344319820404,-0.605278491973877,-0.2082352340221405,-0.33141636848449707,0.318788081407547,-0.12201054394245148,-1.228177547454834,-0.003947397693991661,-0.1459437608718872,0.010057474486529827,-0.7646474838256836,1.164074420928955,0.5002425312995911,0.45148369669914246,0.0314640998840332
焦作,-0.4897996187210083,0.9252609610557556,0.4405490756034851,0.6819145679473877,1.4511843919754028,0.45153334736824036,1.9646695852279663,-1.128244400024414,0.7341070175170898,0.060491204261779785,-0.1115439161658287,-0.8830371499061584,-0.2797912359237671,0.17309415340423584,-0.49398893117904663,0.9331437945365906,-1.456183671951294,0.10862181335687637,-0.027289314195513725,-0.364887535572052,-1.4329465627670288,-0.153664693236351,-0.4583403468132019,-1.108017086982727,1.541800618171692,0.38965436816215515,0.3253996670246124,-0.43533027172088623,0.8365493416786194,0.0178487878292799,-0.8856326341629028,0.17918135225772858
郑州东,-0.30980315804481506,1.5447845458984375,2.022341012954712,-0.029864734038710594,-0.32839059829711914,0.5653496980667114,1.4742149114608765,-1.3680144548416138,-0.40288951992988586,0.2904462218284607,0.34670528769493103,-0.2127973437309265,-0.01053315494209528,-0.0974419042468071,-0.9691855907440186,0.49670299887657166,-1.8313888311386108,-1.1075544357299805,0.21505427360534668,-0.0667564868927002,-1.253982424736023,0.2385856658220291,-0.7500817775726318,-0.5495244860649109,0.4197749197483063,-1.6159955263137817,-0.7412265539169312,-0.6380085945129395,1.1008707284927368,0.11001967638731003,0.38157618045806885,0.4414843022823334
郑州西,-0.30498024821281433,1.1713385581970215,0.4375739097595215,0.2529607117176056,0.8680981993675232,0.43302562832832336,0.7954118847846985,-1.0004767179489136,0.02895522303879261,-0.01435169205069542,0.4219050109386444,-0.44987425208091736,-0.028524573892354965,0.8022746443748474,-0.6884183883666992,0.4950941205024719,-1.8669812679290771,-0.3376404047012329,-0.1031305342912674,0.12553101778030396,-1.4530833959579468,0.34384435415267944,-0.12706801295280457,-0.7319350838661194,0.535288393497467,-0.12428131699562073,0.03765758499503136,-0.5422465801239014,0.6378597617149353,0.5644285082817078,-0.21262851357460022,0.389407753944397
