,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
杭锦旗,0.4932999312877655,-0.44764402508735657,0.5656078457832336,-0.21031808853149414,-0.5199815630912781,-0.5073181986808777,0.43538203835487366,0.22489042580127716,0.28462302684783936,0.310043603181839,-0.7902648448944092,0.45579850673675537,0.3801276981830597,-0.10814788937568665,0.4665232300758362,0.08724845200777054,-0.39220190048217773,-0.17070284485816956,-0.4845421612262726,0.2194768488407135,-0.7563909888267517,-0.14096792042255402,0.056786153465509415,-0.42781174182891846,-0.052674345672130585,0.3172914981842041,-0.5660585761070251,1.1475287675857544,0.022032693028450012,0.45973101258277893,0.2469220757484436,-1.126165747642517,0.6286105513572693,0.2623535096645355,0.14072564244270325,0.4612310528755188,-0.32159918546676636,0.43673449754714966,-0.5431491136550903,0.20073090493679047,-0.33088070154190063,1.1676427125930786,0.004046423360705376,0.851824939250946,-1.1908328533172607,0.5963561534881592,0.17229057848453522,-0.3177585303783417,-0.45705080032348633,-0.6173022389411926,-0.2363361269235611,0.3142886161804199,0.1202162355184555,0.000538667372893542,-0.9182465672492981,-0.3223496079444885,-0.29518595337867737,-0.08601725101470947,-0.49201762676239014,-0.16945727169513702,-0.6414428353309631,0.37912875413894653,-0.20902375876903534,-0.3676069378852844
碱柜,0.48331236839294434,-0.49334463477134705,0.5650941133499146,-0.1986410766839981,-0.47345393896102905,-0.5350348353385925,0.4552818834781647,0.2426430881023407,0.2831856608390808,0.37253302335739136,-0.754707932472229,0.4325826168060303,0.39422234892845154,-0.061635084450244904,0.45215126872062683,0.06640759855508804,-0.42447248101234436,-0.1736643761396408,-0.4707009196281433,0.18500690162181854,-0.7386834025382996,-0.21799971163272858,0.04915374144911766,-0.41151031851768494,-0.03174862265586853,0.3282066285610199,-0.5981222987174988,1.1747608184814453,0.03781998157501221,0.4164635241031647,0.2530680298805237,-1.1083101034164429,0.6388760209083557,0.2643052935600281,0.11915300041437149,0.4413786828517914,-0.2813570499420166,0.44120800495147705,-0.5067543387413025,0.23076054453849792,-0.3532637655735016,1.1966394186019897,-0.012539517134428024,0.8560060262680054,-1.2217000722885132,0.5955417156219482,0.1713394969701767,-0.31063196063041687,-0.4557053744792938,-0.5982154011726379,-0.29049697518348694,0.32796502113342285,0.16016872227191925,-0.0015026802429929376,-0.9182484149932861,-0.3064133822917938,-0.31314224004745483,-0.07346776127815247,-0.550748348236084,-0.17660050094127655,-0.6290359497070312,0.3393020033836365,-0.14936409890651703,-0.32350754737854004
巴彦高勒,0.5024372339248657,-0.4225938618183136,0.6141390800476074,-0.15679214894771576,-0.49885040521621704,-0.5739103555679321,0.6722975373268127,0.2280232459306717,0.364579975605011,0.23172953724861145,-0.9966298937797546,0.5932113528251648,0.4051581025123596,-0.21734103560447693,0.6620689034461975,0.04616624116897583,-0.3787536919116974,-0.11026924103498459,-0.5060465931892395,0.2244729995727539,-0.9489957690238953,-0.12103398144245148,0.06082311272621155,-0.4726775586605072,-0.07055193185806274,0.3652222156524658,-0.6225263476371765,1.2499631643295288,0.12119404971599579,0.5787504315376282,0.3051098585128784,-1.3647980690002441,0.7673239707946777,0.42607393860816956,0.1932162195444107,0.6132671236991882,-0.34714481234550476,0.47248008847236633,-0.6878008246421814,0.24337074160575867,-0.32864898443222046,1.2666304111480713,-0.026753751561045647,0.9964891076087952,-1.260469675064087,0.686072587966919,0.20378920435905457,-0.2876250445842743,-0.487311452627182,-0.7908151149749756,-0.1996106058359146,0.3180929720401764,0.1107453852891922,-0.0732160210609436,-1.0655018091201782,-0.41775161027908325,-0.266575425863266,-0.1627730429172516,-0.5152052640914917,-0.2277175486087799,-0.6887238621711731,0.5435651540756226,-0.3420000970363617,-0.47094249725341797
元宝山,0.36220040917396545,0.49470609426498413,0.3969600200653076,0.06218964233994484,-0.4254445731639862,0.7699596285820007,1.1625972986221313,0.7438204884529114,-0.08903907239437103,-0.3089715838432312,-0.3134075999259949,0.3106544017791748,-0.20181044936180115,-0.6957749128341675,0.41414350271224976,0.2814120054244995,0.22233232855796814,-0.20541654527187347,-0.5370010137557983,0.34981417655944824,0.14880415797233582,-0.05641473829746246,0.17336638271808624,-0.6729042530059814,0.2108244150876999,0.6440826654434204,-0.4108143746852875,0.6219307780265808,-0.43792152404785156,-0.15066437423229218,-0.010033907368779182,-0.8651943802833557,0.39025166630744934,-0.24033623933792114,0.05628718435764313,-0.08298397064208984,0.3182182013988495,0.08365067094564438,0.38279804587364197,0.11905936151742935,-0.6090817451477051,1.3365709781646729,0.07637370377779007,0.9708899259567261,-0.5594204068183899,-0.04444063827395439,-0.6818510293960571,0.32336854934692383,-0.6150562167167664,-0.484237402677536,0.0013979116920381784,0.4482044279575348,-0.783115029335022,-0.3962237238883972,0.0020922606345266104,0.5366833209991455,-0.9601210355758667,-0.28994953632354736,-0.2554696798324585,-0.11749590188264847,-0.7207918167114258,1.030429482460022,-0.5726948380470276,0.2433280497789383
马林,0.3947894871234894,0.2799021005630493,0.33980634808540344,0.02857028879225254,-0.4853091239929199,0.7926421761512756,1.143795371055603,0.6351591944694519,0.01328799594193697,-0.20403170585632324,-0.18273642659187317,0.43931108713150024,-0.1994360387325287,-0.6284158825874329,0.34715476632118225,0.2020365446805954,0.1629679948091507,-0.2883446514606476,-0.6602211594581604,0.2811812162399292,0.062256209552288055,-0.06624547392129898,0.20053791999816895,-0.7873399257659912,0.2709227204322815,0.5636485815048218,-0.4110565185546875,0.47939687967300415,-0.5238612294197083,-0.1259886920452118,0.07744233310222626,-0.9033713936805725,0.49670952558517456,-0.2071724385023117,-0.016828129068017006,0.005802826955914497,0.2675734758377075,0.07700779289007187,0.43256908655166626,0.23376582562923431,-0.5831619501113892,1.2609038352966309,0.13330979645252228,0.9371519684791565,-0.48881494998931885,0.03785407170653343,-0.7165842652320862,0.30445224046707153,-0.5832279920578003,-0.37369731068611145,-0.03581511229276657,0.2740635573863983,-0.8089631199836731,-0.36063218116760254,0.11499594151973724,0.5828229784965515,-0.824704110622406,-0.4694310128688812,-0.21793833374977112,-0.15946945548057556,-0.5843876004219055,0.8364694714546204,-0.5195245146751404,0.3069821298122406
热水,0.3344683051109314,0.535088300704956,0.5234482884407043,0.0843782052397728,-0.44868457317352295,0.7286680936813354,1.145872950553894,0.818376362323761,-0.0445081852376461,-0.34647172689437866,-0.4229971468448639,0.17568403482437134,-0.12828107178211212,-0.6692817211151123,0.43036940693855286,0.2510059177875519,0.22648455202579498,-0.2878425717353821,-0.5275846123695374,0.3343600928783417,0.23046830296516418,0.031661804765462875,0.21713732182979584,-0.5154714584350586,0.20262101292610168,0.6394718885421753,-0.3005479574203491,0.6538664698600769,-0.35457590222358704,-0.1247035413980484,-0.08861462771892548,-0.8562799692153931,0.2661052644252777,-0.2578992247581482,0.12510281801223755,-0.13836327195167542,0.25779417157173157,0.05465882271528244,0.3482322096824646,0.09398800879716873,-0.700050413608551,1.3712908029556274,0.11762484908103943,0.8956848382949829,-0.551124632358551,-0.1436970978975296,-0.6229774355888367,0.42856496572494507,-0.6823649406433105,-0.44732221961021423,0.05263005569577217,0.5419682264328003,-0.7701271176338196,-0.35108765959739685,-0.007850226946175098,0.4602871537208557,-1.0089689493179321,-0.2666790187358856,-0.32529133558273315,-0.10854075103998184,-0.7689909338951111,1.1588153839111328,-0.5758877396583557,0.15979544818401337
郑州,-0.8344055414199829,-0.23264098167419434,0.5870184898376465,0.29602858424186707,0.43327000737190247,0.7836987376213074,0.22993507981300354,0.03046443499624729,0.3382977545261383,-0.5165301561355591,-0.40648695826530457,-0.4572807252407074,-0.07498644292354584,-0.8037891983985901,0.8289387822151184,0.5462971329689026,-0.0716947615146637,-0.09868176281452179,-0.5548406839370728,-0.30508801341056824,0.06176140159368515,-0.39779743552207947,0.4502948522567749,-0.6112739443778992,0.05324714258313179,-0.03648266941308975,-0.6782560348510742,0.14183688163757324,-0.7659021019935608,1.0827763080596924,-1.0885666608810425,-0.2017708569765091,0.7215806245803833,0.8527474999427795,0.14039981365203857,0.44188547134399414,-0.9600589871406555,0.7702112793922424,0.7780364155769348,-0.15391400456428528,-0.11884696781635284,-0.17207463085651398,-0.36483192443847656,0.4139934480190277,-1.3061132431030273,-0.28459668159484863,0.00442675082013011,0.7405855059623718,0.19891269505023956,-0.9652075171470642,-0.2739628255367279,-0.21854855120182037,-0.18191559612751007,-0.24181461334228516,-0.3905752897262573,0.22315190732479095,-0.6262585520744324,-0.7226651906967163,-0.3725737929344177,-0.136754110455513,-0.3307912051677704,-0.00341393961571157,0.10444889217615128,-0.6459367871284485
焦作,-0.9121953845024109,-0.45262014865875244,0.8461479544639587,0.5456138849258423,0.24003493785858154,0.29922792315483093,1.085691213607788,0.3745400309562683,-0.4736882448196411,-0.34990984201431274,0.16690108180046082,0.028538892045617104,0.10595555603504181,-0.7856000661849976,1.1256554126739502,0.871214747428894,0.19182641804218292,-0.11441799998283386,-0.4687032401561737,0.3269345164299011,0.4208226799964905,0.39557957649230957,0.3616454601287842,-0.4515647292137146,0.5077692270278931,-0.12772512435913086,-0.7404709458351135,0.16732099652290344,-0.9201021790504456,1.5000560283660889,-0.7496288418769836,-0.0811464712023735,0.7573657035827637,0.28017133474349976,0.840899646282196,0.07841289788484573,-0.2526939809322357,0.7571860551834106,0.8216355443000793,0.4654944837093353,-0.47032231092453003,-0.6052477359771729,-0.2867494523525238,0.7861171960830688,-1.2391663789749146,-0.0038152190390974283,0.6380645036697388,0.9661104679107666,0.44911396503448486,-0.652737557888031,0.18572944402694702,0.30987051129341125,-0.6747689247131348,-0.11410187184810638,-0.18464906513690948,0.03441692888736725,-0.9355478286743164,-0.8580811023712158,-0.6282878518104553,0.14042699337005615,-1.145702600479126,0.6188554167747498,0.3459904193878174,-0.7608782649040222
郑州东,-0.4074428379535675,-0.06229708343744278,-0.05374445021152496,0.7956056594848633,0.4108022451400757,-0.3854095935821533,0.31853601336479187,0.24910081923007965,0.3999614119529724,-0.3434954583644867,-0.02132868953049183,-0.27930158376693726,-0.14582228660583496,-0.9069647192955017,0.020980076864361763,0.5352528691291809,-0.6027581691741943,0.5518636703491211,-0.5785974860191345,-0.2669995427131653,0.23629774153232574,0.037923142313957214,0.4674491882324219,-0.23157620429992676,0.11739812791347504,-0.4587104022502899,-0.850278913974762,0.531923770904541,-0.22102244198322296,0.9681095480918884,-0.5929409861564636,0.20405244827270508,0.4378156363964081,0.7471851110458374,-0.16456714272499084,0.06043504178524017,-0.17668214440345764,0.7937046885490417,0.2573656439781189,0.5007904767990112,-0.6990786790847778,0.2883813977241516,0.10789072513580322,0.18769755959510803,-1.0800304412841797,-0.35646674036979675,-0.31824469566345215,0.07203488051891327,-0.14983373880386353,-0.994834840297699,0.05507053807377815,-0.31316351890563965,0.02294030785560608,-0.6850815415382385,0.5158329606056213,-0.283276230096817,-0.6366389989852905,-0.5909749269485474,0.1144273653626442,-0.2006521224975586,-0.32163235545158386,-0.18627460300922394,-0.591943085193634,-0.7316709756851196
郑州西,-0.7750394344329834,-0.1863887757062912,0.38919368386268616,0.7196671962738037,0.4370255470275879,0.004611846525222063,0.6494035720825195,0.1667851358652115,0.22053834795951843,-0.38524800539016724,0.2624562084674835,0.13086089491844177,-0.16270999610424042,-0.7480104565620422,0.4157021641731262,0.6300855278968811,-0.836649477481842,0.36754968762397766,-0.6187258362770081,-0.044777028262615204,0.3446590006351471,-0.035465557128190994,0.5321342349052429,-0.3812607526779175,-0.1186140924692154,-0.1909020096063614,-0.579524576663971,0.5418925285339355,-0.0571071058511734,1.1798189878463745,-0.6436325311660767,0.25347471237182617,0.5240271687507629,0.8704915642738342,0.1225922703742981,0.4130726456642151,-0.3648216128349304,0.7689934968948364,0.43176186084747314,0.8218751549720764,-0.5388326048851013,0.06191520765423775,-0.11992208659648895,0.40843090415000916,-1.3640047311782837,-0.2312125712633133,0.07147539407014847,0.3033650517463684,0.17386166751384735,-1.0111082792282104,-0.23639068007469177,-0.05286332592368126,-0.41170695424079895,-0.739234983921051,-0.1832575649023056,0.04567791149020195,-0.7328072190284729,-0.7509989738464355,-0.18270786106586456,-0.023088371381163597,-0.834398090839386,0.11178556084632874,-0.38376447558403015,-0.5366886258125305
