,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
杭锦旗,0.029799893498420715,-0.17936140298843384,0.22401748597621918,0.35030022263526917,0.14429621398448944,-0.17359083890914917,0.3569238483905792,0.48488306999206543,0.426363468170166,-0.35735151171684265,0.2755388617515564,-0.4368012845516205,0.13751757144927979,0.021238863468170166,0.12201722711324692,-0.09245031327009201,0.5075040459632874,0.17651855945587158,0.4864753484725952,0.22847606241703033,-0.10954607278108597,-0.25632044672966003,0.4259949326515198,0.33453524112701416,-0.00894811563193798,-0.02319967746734619,-0.49945923686027527,-0.36085808277130127,0.2147403508424759,-0.2069159895181656,-0.11411072313785553,-0.8189657926559448,0.06526676565408707,-0.4176001250743866,0.3757742643356323,-0.3218826651573181,-0.05619681999087334,0.7306628227233887,0.3034667372703552,0.17885884642601013,0.30528369545936584,0.29592764377593994,-0.35156166553497314,-0.28711438179016113,0.17827297747135162,-0.3457790017127991,0.38086971640586853,0.3958156108856201,0.35453251004219055,-0.7229483127593994,0.07884356379508972,-0.33595848083496094,-0.10038039833307266,-0.34576013684272766,0.45526358485221863,0.23539355397224426,0.3331089913845062,0.46462953090667725,0.3004916310310364,0.14559274911880493,0.1672540158033371,0.6433085203170776,-0.5721445083618164,0.10804537683725357
碱柜,0.011932596564292908,-0.19983512163162231,0.2213684618473053,0.371223509311676,0.12459298968315125,-0.207649827003479,0.3738691806793213,0.4621003568172455,0.44978246092796326,-0.32752281427383423,0.27292972803115845,-0.4893363118171692,0.11474540084600449,0.013041739352047443,0.13976332545280457,-0.1136399582028389,0.5213763117790222,0.18737435340881348,0.46744775772094727,0.2348925769329071,-0.10432635992765427,-0.2772357165813446,0.4501497149467468,0.35411468148231506,0.017645886167883873,-0.024776794016361237,-0.47192540764808655,-0.33796730637550354,0.2383103221654892,-0.21079622209072113,-0.09109601378440857,-0.8031838536262512,0.0650986060500145,-0.4119914770126343,0.3797968924045563,-0.3240959346294403,-0.05830175057053566,0.7571381330490112,0.35778483748435974,0.2009192556142807,0.3446619212627411,0.296735942363739,-0.31739264726638794,-0.3245772123336792,0.1785905659198761,-0.37590938806533813,0.4234050214290619,0.370000958442688,0.38158440589904785,-0.7760573625564575,0.07093581557273865,-0.326847106218338,-0.14204831421375275,-0.33108237385749817,0.49098941683769226,0.22609080374240875,0.35301515460014343,0.48112621903419495,0.2930673658847809,0.15832597017288208,0.16126255691051483,0.6351220607757568,-0.5486271977424622,0.11038566380739212
巴彦高勒,0.01819012314081192,-0.40523433685302734,0.2886416018009186,0.552157998085022,0.12849576771259308,-0.2456684559583664,0.4130576550960541,0.7382686734199524,0.5950419306755066,-0.49813130497932434,0.5760346055030823,-0.5888271331787109,0.05603378266096115,0.015044326893985271,0.22409582138061523,-0.18355225026607513,0.8112315535545349,0.41254839301109314,0.49641647934913635,0.3184068500995636,-0.24335698783397675,-0.32168179750442505,0.6724482178688049,0.5338216423988342,0.02366660162806511,0.0017716013826429844,-0.6941066384315491,-0.38855037093162537,0.4720892906188965,-0.3785182535648346,-0.02695688046514988,-1.039428949356079,0.11408267915248871,-0.5688691735267639,0.3694518208503723,-0.40762248635292053,0.09244552254676819,1.1145539283752441,0.5466384291648865,0.2651950418949127,0.5530996322631836,0.41462910175323486,-0.5409522652626038,-0.6175990104675293,0.3229990303516388,-0.592954158782959,0.5962426066398621,0.5091596841812134,0.40383410453796387,-1.1742030382156372,0.057817015796899796,-0.3969174325466156,-0.2212778776884079,-0.532239556312561,0.6971511840820312,0.22824054956436157,0.3733066916465759,0.5131298303604126,0.30632227659225464,0.19478103518486023,0.21649007499217987,0.9037438035011292,-0.6803523898124695,0.16150543093681335
元宝山,0.2047945261001587,-0.40532949566841125,1.0723960399627686,-0.3864956200122833,0.17188404500484467,-0.46917524933815,0.8282917141914368,0.3490854799747467,0.0628533884882927,-0.14000555872917175,-0.2891852557659149,-0.7685571908950806,0.5035176277160645,0.1983897089958191,0.09897846728563309,0.36490023136138916,0.09964978694915771,-0.6334745287895203,-0.5159567594528198,0.41632193326950073,-0.12195302546024323,-0.36717239022254944,-0.2524162828922272,0.826474666595459,0.32494065165519714,-0.40646374225616455,-0.16004952788352966,-0.47468119859695435,0.5258034467697144,0.26335597038269043,0.07407522201538086,-0.369836688041687,-0.0941099151968956,-0.23085755109786987,-0.22787542641162872,-0.6917427778244019,-0.49504807591438293,0.3042064905166626,0.7907679080963135,-0.24076618254184723,0.05197915434837341,0.2960555851459503,-0.09521708637475967,-0.01919417642056942,0.2649860978126526,-0.36418628692626953,0.48924902081489563,-0.10151850432157516,0.23689846694469452,-0.5107501745223999,0.11080259829759598,-0.29471355676651,-0.2913254499435425,0.2371225506067276,0.23079195618629456,-0.115379199385643,-0.03817096725106239,-0.15969465672969818,0.6573101282119751,0.2990894317626953,-0.41972896456718445,0.967241108417511,-0.007184839341789484,-0.5379371643066406
马林,0.23425088822841644,-0.3543258607387543,1.084492564201355,-0.36111482977867126,0.12495224922895432,-0.3952232301235199,0.7209786772727966,0.35046035051345825,0.07864213734865189,-0.1662978231906891,-0.2715950906276703,-0.6921935677528381,0.47597646713256836,0.19224733114242554,0.08112698793411255,0.3247602581977844,0.09524540603160858,-0.615894615650177,-0.48927173018455505,0.38748109340667725,-0.07416575402021408,-0.37751027941703796,-0.3136632442474365,0.7616022229194641,0.3324107527732849,-0.34778890013694763,-0.2151598334312439,-0.4613507091999054,0.5155092477798462,0.27859172224998474,0.07091708481311798,-0.2939712405204773,-0.04788995534181595,-0.21069301664829254,-0.26385700702667236,-0.6995405554771423,-0.4757314920425415,0.30189505219459534,0.790486752986908,-0.23739467561244965,0.014828258194029331,0.2867738902568817,-0.1132824644446373,-0.08240120112895966,0.272190123796463,-0.349346399307251,0.4963139295578003,-0.011156930588185787,0.2159082293510437,-0.4850510358810425,0.12945976853370667,-0.2950459122657776,-0.31253984570503235,0.20046347379684448,0.1923677921295166,-0.13406437635421753,-0.12973809242248535,-0.18946407735347748,0.5554054975509644,0.3088894486427307,-0.3957349359989166,0.9811896681785583,-0.05859965831041336,-0.5511484742164612
热水,0.19667917490005493,-0.48012566566467285,1.0026051998138428,-0.39504802227020264,0.21068888902664185,-0.4896358549594879,0.9295778870582581,0.3894684910774231,0.04461156576871872,-0.18881823122501373,-0.25093990564346313,-0.787184476852417,0.5514616966247559,0.2179936170578003,0.11824265867471695,0.41030004620552063,0.08077935874462128,-0.6826993823051453,-0.5426172614097595,0.444558322429657,-0.1943443864583969,-0.2843410074710846,-0.21805442869663239,0.8346788287162781,0.33085641264915466,-0.47698214650154114,-0.11184469610452652,-0.46117448806762695,0.5551363825798035,0.3161747455596924,0.09504708647727966,-0.3815617859363556,-0.11060503125190735,-0.26150473952293396,-0.15920916199684143,-0.681924045085907,-0.4864470958709717,0.26844489574432373,0.7774098515510559,-0.21995879709720612,0.040128592401742935,0.3057519495487213,-0.08694726973772049,0.0343099981546402,0.19073306024074554,-0.3485773205757141,0.4670490622520447,-0.18404629826545715,0.2416834831237793,-0.512090802192688,0.08419787883758545,-0.2890346944332123,-0.30068302154541016,0.2718932330608368,0.2686797082424164,-0.0463109165430069,0.021924957633018494,-0.1090509220957756,0.7047674059867859,0.2556517720222473,-0.42567846179008484,0.9524012207984924,0.025051726028323174,-0.4861827790737152
郑州,0.048412077128887177,-0.4760412573814392,-0.36772605776786804,-0.5863930583000183,0.43003568053245544,0.36630868911743164,-0.9441348314285278,0.5167214274406433,1.1643770933151245,-0.21531513333320618,0.717835009098053,-0.7554968595504761,-0.5343877077102661,-0.6438776254653931,-0.10472314804792404,0.009049591608345509,0.036711521446704865,0.15993483364582062,-0.5882944464683533,0.9972866177558899,-0.5484430193901062,0.8524184823036194,-0.5616379380226135,0.9525414705276489,0.6020481586456299,0.09936297684907913,-0.3025831878185272,0.7164092659950256,0.9630840420722961,-0.42881807684898376,1.1657922267913818,-0.38611164689064026,0.21233811974525452,-0.8488180041313171,-0.277435839176178,1.0959792137145996,-0.3544963300228119,0.3897463381290436,-0.205504909157753,0.025814205408096313,0.6540987491607666,0.5561270117759705,-0.5471413731575012,-0.5519428253173828,-0.6100500822067261,0.226640522480011,-0.39275774359703064,0.09965118020772934,-0.3746000826358795,-0.6669543385505676,-0.9462613463401794,-0.22672952711582184,-0.1664557158946991,0.756426215171814,-0.31160086393356323,0.049465060234069824,-1.4488023519515991,0.22442731261253357,-0.1788029670715332,0.09933045506477356,0.06264811754226685,1.041608452796936,0.9897720217704773,0.040441449731588364
焦作,0.39612171053886414,-0.5618301630020142,0.0831577405333519,-0.14708182215690613,0.40523964166641235,0.029322687536478043,-0.9926250576972961,0.2808806598186493,1.0244284868240356,-0.3149012327194214,0.40111589431762695,-1.4448250532150269,0.05635126680135727,-0.788967490196228,-0.1464834064245224,-0.15516693890094757,0.11881556361913681,-0.3497082591056824,-0.3967406153678894,0.8875647783279419,-0.49426722526550293,0.50357586145401,-1.074045181274414,0.6723727583885193,0.6907578706741333,0.2990114986896515,0.2608804702758789,0.2322806566953659,1.0908174514770508,-0.3680720329284668,0.6319712400436401,-1.0710668563842773,0.1829729974269867,-1.1875903606414795,0.013379768468439579,0.7668566107749939,-0.7273528575897217,0.09991122782230377,-0.08018707484006882,-0.15004085004329681,0.009751546196639538,0.17955078184604645,-0.5300841927528381,0.07039481401443481,-0.6618036031723022,0.46685460209846497,0.36410602927207947,0.10071679949760437,-0.1283780038356781,-0.29585304856300354,-0.9507297277450562,-0.4766504466533661,0.21972797811031342,0.7286762595176697,-0.49459782242774963,0.10163489729166031,-0.3127088248729706,0.6969947218894958,0.35926488041877747,0.47202786803245544,0.29269108176231384,0.5485029816627502,0.8130748867988586,-0.4972793459892273
郑州东,-0.32848653197288513,-0.9537511467933655,0.16469424962997437,-0.23415300250053406,0.1429239809513092,0.17333067953586578,-0.4067595601081848,0.9439893960952759,0.338250994682312,0.07674914598464966,1.0994211435317993,-0.4161268472671509,-0.9505025148391724,-0.33768031001091003,-0.15598422288894653,-0.31948959827423096,0.8725255131721497,-0.12812405824661255,-0.30085432529449463,1.3601163625717163,-0.41152769327163696,0.42187923192977905,-0.42801862955093384,0.7070449590682983,0.3033599853515625,0.24087849259376526,0.31183069944381714,0.5672612190246582,1.1006375551223755,0.18838511407375336,0.6672066450119019,-0.7976753115653992,0.8258697390556335,-0.4400395154953003,0.02867874875664711,0.3530997931957245,0.7489811778068542,0.7567418813705444,0.26862043142318726,0.09783804416656494,0.6197011470794678,0.39868587255477905,-0.9921079277992249,-0.7382040619850159,-0.49626773595809937,0.41997799277305603,0.7121632695198059,1.042462944984436,0.07733635604381561,-0.986798107624054,-1.1744325160980225,-0.44301196932792664,-0.18511435389518738,-0.036631520837545395,-0.631130039691925,-0.049441006034612656,-1.0639939308166504,-0.7535728216171265,-0.4604143798351288,-0.6101392507553101,0.36526763439178467,0.9243667721748352,0.3588634133338928,-0.2148626744747162
郑州西,-0.01489870622754097,-0.8366608023643494,0.32330557703971863,0.05135380104184151,0.28671082854270935,0.09826623648405075,-0.5648093819618225,0.30902099609375,0.6590997576713562,0.20504312217235565,0.580595850944519,-1.0248632431030273,-0.4369482696056366,-0.17696745693683624,0.049892980605363846,-0.3325159251689911,0.11787271499633789,0.026495512574911118,-0.13873359560966492,0.6834079027175903,-0.10983705520629883,0.235876202583313,-0.8314653038978577,0.5743048787117004,0.679653525352478,-0.08655940741300583,0.17868471145629883,0.5994561314582825,0.6124491691589355,0.03336341679096222,-0.008815462701022625,-1.1663904190063477,0.3832376301288605,-0.8162071108818054,-0.04036375507712364,0.5373131632804871,-0.1328730434179306,0.5346177220344543,-0.21363817155361176,-0.0992555245757103,0.2974686920642853,0.4073159992694855,-0.6013815402984619,-0.46762195229530334,-0.43373143672943115,0.3725200891494751,0.45074182748794556,0.4389514625072479,0.18555864691734314,-0.12783601880073547,-1.0256539583206177,-0.1682748794555664,-0.19617366790771484,0.5976500511169434,-0.4983632564544678,0.3763407766819,-0.7610964179039001,0.11350443959236145,-0.09059017896652222,0.03822134807705879,0.15884512662887573,0.5302760004997253,0.4083896279335022,-0.5963609218597412
