,0,1,2,3,4,5,6,7
杭锦旗,2.1878602504730225,-0.23012523353099823,0.8992277383804321,0.4215714931488037,0.2802761495113373,0.06858070939779282,-0.5993717312812805,1.4477146863937378
碱柜,2.2406129837036133,-0.26839479804039,0.9528830051422119,0.4185403287410736,0.30311891436576843,0.018015028908848763,-0.5914809107780457,1.4361748695373535
巴彦高勒,3.6398167610168457,-0.2938060462474823,1.0643999576568604,0.4143133759498596,0.2768396735191345,0.1797572672367096,-0.9169055223464966,2.5371060371398926
元宝山,0.8155975341796875,-1.2103662490844727,-0.08505707234144211,1.1709043979644775,0.8326889872550964,-2.4749224185943604,0.20516206324100494,1.4902983903884888
马林,0.8288387656211853,-1.327268362045288,-0.18802733719348907,1.1412913799285889,0.7534814476966858,-2.468036413192749,0.13415522873401642,1.2373359203338623
热水,0.7975488901138306,-0.9517377018928528,0.07107274979352951,1.2874690294265747,1.0116146802902222,-2.574918031692505,0.06482823938131332,1.5104502439498901
郑州,0.9506203532218933,-1.405290961265564,0.27842867374420166,-0.5508482456207275,-2.965951442718506,-0.448188841342926,-0.6065354347229004,2.1915090084075928
焦作,1.0281599760055542,-1.423105239868164,1.5756173133850098,0.003924816381186247,-3.08530855178833,0.0824519470334053,-0.9248539805412292,3.3256239891052246
郑州东,2.3543453216552734,-1.0738940238952637,-0.07622678577899933,-1.5955008268356323,-2.0817904472351074,-0.806058943271637,-1.0304758548736572,2.03104305267334
郑州西,1.8919790983200073,-1.4566324949264526,0.3138152062892914,-1.0015748739242554,-2.0735368728637695,-0.19798798859119415,-0.5792971849441528,2.2898786067962646
许昌东,2.414271354675293,-0.898460865020752,0.23927296698093414,-1.3266648054122925,-2.8826282024383545,-0.3187793791294098,-1.2295809984207153,2.7150988578796387
洛阳龙门,2.964177370071411,-2.04836368560791,0.17517587542533875,-1.4681518077850342,-2.53861665725708,-0.4612264931201935,-0.629782497882843,2.533804178237915
漯河西,2.8612887859344482,-0.685916543006897,0.1823079138994217,-1.4301888942718506,-3.474177122116089,-0.34678182005882263,-1.4568151235580444,2.7259445190429688
驻马店西,3.1050660610198975,-0.31147345900535583,0.09679912775754929,-1.3661279678344727,-3.768033266067505,-0.3502269685268402,-1.4574257135391235,2.55561900138855
西安北,2.9680118560791016,-2.55485463142395,-0.18243518471717834,-0.22323961555957794,-1.718757152557373,-0.18412581086158752,-0.05869491398334503,1.6718804836273193
渑池南,2.8940484523773193,-2.1273574829101562,0.5634428262710571,-1.255454182624817,-1.8812851905822754,-0.3338014781475067,-0.16844572126865387,2.2517507076263428
巩义南,2.0993049144744873,-1.2859162092208862,0.3953630328178406,-1.2053011655807495,-1.5883336067199707,-0.3095961809158325,-0.4967274069786072,1.9403743743896484
武汉,2.470776319503784,0.6608315706253052,-0.9249559640884399,-0.7914535999298096,-3.227018117904663,-0.6281556487083435,-1.317087173461914,1.769113302230835
民权,0.9154111742973328,-1.4016461372375488,1.8899136781692505,-1.8368442058563232,-3.2037885189056396,-1.6745080947875977,-0.7907625436782837,2.509223461151123
洛阳,1.1178593635559082,-1.8986467123031616,-0.3192935585975647,-0.5148310661315918,-3.703624963760376,-0.5263634920120239,0.22958624362945557,3.2335832118988037
开封,1.048867106437683,-1.7596591711044312,1.0605214834213257,-1.3400065898895264,-3.916501522064209,-1.252572774887085,-0.8652400970458984,2.7983176708221436
汝州,0.7502649426460266,-0.9014347195625305,0.22159862518310547,-0.21203309297561646,-2.914801597595215,-0.11921054869890213,0.10144340246915817,3.7441565990448
新乡,1.332854986190796,-2.102487802505493,1.0087519884109497,-0.15072865784168243,-3.7188501358032227,-0.4292685389518738,-1.4190254211425781,2.9835498332977295
巩义,1.1792651414871216,-1.3929145336151123,0.10576087981462479,-0.5035830736160278,-3.4109044075012207,-0.28952956199645996,-0.22053809463977814,2.7696030139923096
许昌,0.6341464519500732,-0.7425393462181091,0.6868274211883545,0.10770046710968018,-3.2618470191955566,-0.09120454639196396,-0.7692745327949524,2.7824413776397705
宝丰,0.49700337648391724,-0.637138307094574,0.3682366907596588,-0.13739511370658875,-2.856273651123047,-0.21948456764221191,0.18917863070964813,4.2945027351379395
偃师,0.8830092549324036,-1.146958827972412,0.2054327428340912,-0.1988288015127182,-2.654597043991089,-0.03758580610156059,0.2468416839838028,2.4451005458831787
漯河,0.5124012231826782,-0.06956890970468521,1.1754655838012695,0.27907833456993103,-4.049953460693359,-0.1011979803442955,-0.5966135859489441,3.9164159297943115
兰考,0.9327588677406311,-1.725616693496704,1.849778413772583,-1.6557340621948242,-3.7144572734832764,-1.6918306350708008,-0.8014397621154785,2.973555326461792
长葛,0.4751691222190857,-0.7611334919929504,0.6725069284439087,-0.07905812561511993,-2.2001793384552,-0.0031168886926025152,-0.42172175645828247,1.9991358518600464
南阳,-0.32817670702934265,-0.7036311030387878,-0.30219876766204834,-0.042085763067007065,-2.6382415294647217,-1.3494713306427002,0.21304279565811157,4.4690446853637695
