,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
辉河,0.531639814376831,1.168503761291504,0.14104203879833221,0.1406310647726059,-1.0475621223449707,-0.0748874768614769,0.2477853149175644,-0.796294629573822,1.4869765043258667,0.42017263174057007,0.056694600731134415,-0.5913287401199341,0.8686787486076355,-0.6071922183036804,0.19585144519805908,-0.4872516691684723,-0.44343307614326477,0.7821702361106873,1.3841588497161865,1.5902239084243774,-0.1632317751646042,-1.0478702783584595,-1.0396504402160645,-0.4913492798805237,-0.9748384952545166,-0.41969746351242065,0.06450987607240677,-0.6704155802726746,-1.0278871059417725,0.25656658411026,0.9868882298469543,0.8413010239601135
夏坝,-0.0420716218650341,1.4991341829299927,-0.48337966203689575,0.670276403427124,-0.24926301836967468,-0.5044273734092712,0.5400694012641907,-0.2804213762283325,1.2726552486419678,-1.1417020559310913,0.2352881133556366,0.33741089701652527,0.6159848570823669,-0.1795211285352707,0.9201550483703613,0.7746445536613464,-0.9146292805671692,0.016245169565081596,2.0386619567871094,1.4421738386154175,-0.7632253170013428,-0.5626322031021118,-0.7293059229850769,0.11927327513694763,-0.9209681153297424,0.6052496433258057,-0.22980378568172455,-0.8099904656410217,1.2572357654571533,-0.4778227210044861,-0.15844930708408356,0.35594165325164795
扎罗木得,1.08673894405365,1.3460814952850342,0.3853771388530731,0.2868700623512268,-0.26911547780036926,0.17427434027194977,0.5789906978607178,-1.1429736614227295,1.5270284414291382,-0.2511597275733948,0.0805118978023529,-1.48084557056427,0.6785725355148315,-0.1853148639202118,-0.1859350949525833,0.24986855685710907,-0.6948397159576416,0.30252453684806824,0.08126524835824966,1.258557915687561,-0.22831764817237854,-0.5945008397102356,-0.5754393339157104,0.7447240948677063,-0.6060507297515869,-0.1361534744501114,0.3376185894012451,-0.702834963798523,-1.139162302017212,0.07830460369586945,0.2872527539730072,-0.08366293460130692
乌鲁木齐,0.33740952610969543,0.7544890642166138,1.7225896120071411,1.292051076889038,-1.0245013236999512,-1.1394376754760742,-1.8216791152954102,0.5060584545135498,1.2653305530548096,-0.7745072841644287,-1.339452862739563,-1.1825966835021973,1.4447101354599,-0.5289194583892822,0.7297879457473755,1.579928994178772,-0.4988345205783844,-0.0008666243520565331,1.1241614818572998,-0.25351399183273315,-0.9407222867012024,-0.21213388442993164,-0.0468745157122612,-0.2718331515789032,-0.049218084663152695,-0.5582583546638489,-0.2562270164489746,-1.370071530342102,-0.5794293284416199,-0.019636623561382294,-0.4304932951927185,0.520695686340332
定边,0.698854923248291,-1.205436110496521,0.7973968982696533,0.5374345183372498,0.48114386200904846,0.009331276640295982,0.4677322506904602,-0.5401065945625305,1.6293734312057495,-0.7469336986541748,1.3423967361450195,-0.6995914578437805,1.4013930559158325,-0.061927810311317444,-0.8081591129302979,1.201025128364563,-0.37609124183654785,-0.5028308629989624,0.8087356090545654,-0.6517426371574402,-0.2639114558696747,-0.13714982569217682,-0.5192383527755737,-1.082075834274292,-0.7364981174468994,-0.17344895005226135,-0.40809348225593567,-1.0972607135772705,-0.21254025399684906,0.18978287279605865,0.8535665273666382,1.1515982151031494
白石岩,0.48778772354125977,0.3306748569011688,-0.20246924459934235,0.24043554067611694,-2.3580877780914307,-1.1442369222640991,-0.4490818679332733,-0.22958655655384064,1.2656556367874146,-1.2222082614898682,0.6096209287643433,0.9928563833236694,0.6542350649833679,0.2477739304304123,0.22104723751544952,0.9598397016525269,-0.8548145294189453,1.6025965213775635,0.5248831510543823,0.6874101161956787,-0.008997464552521706,-0.11595981568098068,0.09912463277578354,-0.9625706672668457,-1.3378690481185913,0.3031165301799774,0.184378981590271,-0.9947710633277893,-0.4736934006214142,-0.5485885739326477,0.8398833870887756,-0.7851992249488831
麻柳,-0.4679144322872162,-0.3070635199546814,0.16123318672180176,0.5620377063751221,-0.3221847414970398,0.2187982201576233,0.5085284113883972,-0.5146623253822327,1.4116445779800415,-0.037134572863578796,1.1011667251586914,-0.42381536960601807,1.2188420295715332,0.6729052066802979,0.44174107909202576,-0.04769747331738472,-0.5123754143714905,0.2950262725353241,0.9017390012741089,0.32960399985313416,-0.1719137281179428,-0.8412602543830872,-0.4984739124774933,0.011673277243971825,-1.2282861471176147,1.1862441301345825,0.5035957098007202,-1.2029337882995605,0.9055395126342773,-0.776837170124054,-0.02763437293469906,-0.05171601474285126
北宅,-0.044020116329193115,0.3625549376010895,-0.5161311030387878,-0.5060710906982422,0.1783234179019928,-1.285312294960022,-1.5435760021209717,-0.4690489172935486,0.7008479833602905,-1.2978246212005615,1.29893159866333,0.18162383139133453,1.3367999792099,-0.06295891106128693,1.1023151874542236,-0.0789952203631401,-1.6338467597961426,-0.18823392689228058,0.14544521272182465,0.8244239687919617,-0.2299383580684662,0.15363049507141113,-1.273705244064331,-0.40042412281036377,-0.7494975328445435,-0.5892027616500854,-0.2018120288848877,-1.0802359580993652,-0.5801059603691101,-0.29926958680152893,0.13483010232448578,1.0936528444290161
定远,0.024194762110710144,0.04148399084806442,1.0823639631271362,0.19007767736911774,-0.6750668287277222,0.32936301827430725,0.5252801775932312,-0.1322246789932251,0.5743604898452759,-0.33115607500076294,0.12422723323106766,-0.10322406888008118,0.05544345825910568,-0.15856879949569702,0.5313354730606079,1.0961179733276367,-0.6613417863845825,0.19725777208805084,0.7156449556350708,0.18229608237743378,-0.00707400543615222,-1.1745315790176392,-0.5325986742973328,-0.3868389427661896,-0.5521970987319946,-0.46139004826545715,0.3880929946899414,-0.6131981611251831,-0.16103224456310272,-0.27354156970977783,-0.27178463339805603,0.5805931687355042
嘉善,0.6905832886695862,0.5928599834442139,-0.24390937387943268,1.0359597206115723,-0.25400495529174805,-0.920170783996582,-0.3318541347980499,0.2732992172241211,0.8892201781272888,-0.5652146935462952,0.2886541485786438,0.3897407650947571,-0.03374296799302101,0.5369479060173035,-0.4413580298423767,0.9061959981918335,-0.10308362543582916,0.3608968257904053,0.9154960513114929,0.796504557132721,-0.05800234153866768,-1.4131040573120117,0.2787380516529083,0.14036740362644196,-1.0978291034698486,1.0530954599380493,0.3657783567905426,-0.6267195343971252,-1.764652132987976,-0.33240970969200134,0.43191227316856384,0.18831560015678406
峡江,1.2656853199005127,1.2739689350128174,-0.7288298010826111,-0.08432073146104813,-0.507274866104126,0.42261868715286255,-1.1069468259811401,0.40306195616722107,1.0968633890151978,-0.6292604804039001,0.9351595044136047,0.13520808517932892,0.7199180126190186,-0.5669023990631104,-0.09684388339519501,0.35865119099617004,-0.5933182239532471,0.1700434535741806,0.32012009620666504,0.4348001182079315,-0.27294665575027466,-0.4599306881427765,0.3435872495174408,-0.8385047316551208,-0.7343167662620544,-1.051563024520874,0.24463681876659393,-0.2380572259426117,-0.5772451758384705,-0.7698701024055481,0.6066698431968689,0.5498741865158081
免渡河,1.1391078233718872,1.6064203977584839,0.6890190243721008,0.515890896320343,-0.5124432444572449,0.2704625129699707,0.4890405833721161,-0.824691116809845,1.3928426504135132,-0.20775780081748962,-0.5289711356163025,-1.4159467220306396,0.7180585265159607,-0.39506080746650696,-0.01110850553959608,0.5747214555740356,-1.6202250719070435,0.35734906792640686,0.22849363088607788,1.194885492324829,-0.38784316182136536,-0.5018523931503296,-0.47244542837142944,1.253349781036377,-0.4098266363143921,0.23076969385147095,-0.009188452735543251,-0.9591156244277954,-1.4397364854812622,-0.29060137271881104,0.4015297591686249,0.4173654615879059
随州,0.03761721029877663,0.45782604813575745,0.14828410744667053,-0.15272344648838043,-1.5393813848495483,-2.008881092071533,-0.25397077202796936,0.04145903140306473,1.2881903648376465,-0.22797314822673798,0.4784248471260071,-0.4949686825275421,0.8650574088096619,-0.37355872988700867,0.42244988679885864,0.6069427132606506,-0.3911625146865845,-0.48911651968955994,0.6650111079216003,0.3768843710422516,-0.5897567272186279,-0.9602305889129639,-0.28140559792518616,0.5401716232299805,-1.1473932266235352,0.4204156994819641,0.7212008237838745,-0.21798767149448395,0.5380058884620667,-0.6317683458328247,-0.3496311902999878,0.8815957903862
靖边,0.38377222418785095,-1.022403597831726,0.6336809396743774,0.3400558829307556,0.38608837127685547,-0.12922199070453644,0.36157727241516113,-0.4981919229030609,1.4006625413894653,-0.7794594764709473,1.3007639646530151,-0.5161406397819519,1.1086150407791138,0.14079895615577698,-0.7380679845809937,0.9783090949058533,-0.598691999912262,-0.3675290644168854,0.659869372844696,-0.2877015471458435,0.05404455587267876,-0.007733545731753111,-0.46987810730934143,-0.8979874849319458,-0.8139505982398987,-0.14911538362503052,-0.4814850687980652,-1.0195578336715698,-0.21719099581241608,0.4184807240962982,0.5879228711128235,1.1577322483062744
