,0,1,2,3,4,5,6,7
九台,-0.9184290766716003,-1.0663177967071533,-1.7894691228866577,4.431661605834961,-0.09094402939081192,0.6072863340377808,-2.5225629806518555,-0.5838919281959534
贵定北,1.750705361366272,0.9775190353393555,-0.3721965551376343,0.6581577658653259,-1.3585659265518188,1.3452644348144531,-2.2069528102874756,-1.1929354667663574
偃师,1.9027515649795532,0.6531912088394165,-1.1897474527359009,-0.5126497149467468,0.7097928524017334,-1.2818228006362915,-1.7234351634979248,-2.0996596813201904
天柱山,-0.015156454406678677,-3.3750083446502686,-0.8496231436729431,0.38626334071159363,0.7093088626861572,-0.7578905820846558,-1.0930821895599365,-2.1262710094451904
淮南,-0.4858744442462921,-2.464627742767334,-0.7136947512626648,0.13419564068317413,-1.2077736854553223,-2.259338855743408,-1.9584131240844727,-2.673511505126953
长临河,-0.24462606012821198,-0.9051969051361084,-0.2986973524093628,0.5123439431190491,0.032627735286951065,-0.3130614757537842,-0.43123161792755127,-0.9290942549705505
黄冈,0.11499745398759842,-1.3489649295806885,1.7095097303390503,-0.36097222566604614,-0.3354834318161011,0.8405288457870483,-2.9467124938964844,-2.9552195072174072
杨桥,-0.4835375249385834,-0.5859051942825317,-0.7988790273666382,0.09113281220197678,-0.1982174962759018,1.3946311473846436,-0.6992158889770508,-0.9828745722770691
新县,0.9106655716896057,-2.7247543334960938,0.2616882026195526,-1.0288816690444946,-0.685352623462677,-0.16224241256713867,-1.957271933555603,-3.778752565383911
迎祥街,-1.4993951320648193,-1.179102897644043,-2.44204044342041,-1.2291903495788574,-0.8415929079055786,2.811882734298706,-3.263916254043579,-0.5920789241790771
南大庙,0.5903239250183105,1.8411531448364258,-1.912278652191162,0.5696320533752441,-1.0617948770523071,0.5065508484840393,-2.030877113342285,-2.3492977619171143
通州西,1.122061014175415,0.7065093517303467,-0.5704382061958313,-0.1092996671795845,1.089480996131897,0.1280517578125,-3.0484859943389893,0.7342668175697327
赤壁北,0.7389193177223206,-1.1881203651428223,0.9142203330993652,0.05777086690068245,-0.7362154722213745,0.9217405915260315,-1.730924367904663,-2.71528959274292
米沙子,0.19426459074020386,-0.8335685729980469,-2.2657718658447266,3.557795524597168,0.017782656475901604,0.2026914358139038,-1.7087215185165405,-0.3885917067527771
东庄,-1.1690832376480103,-0.4130208492279053,-2.312778949737549,-1.8314061164855957,-1.3941359519958496,0.6053200960159302,-2.8234128952026367,-1.736462950706482
福州南,-1.840757966041565,0.7058742642402649,-0.9567086696624756,-0.459224671125412,0.1816663295030594,1.256166934967041,-2.7636430263519287,-2.761836528778076
兴安北,0.9040074944496155,-0.8840213418006897,-1.260831356048584,-1.3692920207977295,-1.2901116609573364,1.84116792678833,-1.5396069288253784,-3.294904947280884
石家庄北,0.5447445511817932,0.2602056562900543,-1.4651954174041748,-1.1604872941970825,-0.7888011932373047,-1.0108286142349243,-2.857407331466675,0.4153982698917389
鞍山,-0.9239208102226257,-2.710503339767456,-4.531063556671143,1.051003336906433,2.1649489402770996,-0.9958453178405762,-3.219587802886963,0.7023769021034241
日照西,0.7123823165893555,-2.853358745574951,-1.2623190879821777,-1.2433069944381714,0.13652153313159943,-1.683862328529358,-2.4636757373809814,-0.010666409507393837
洛阳,2.0404176712036133,0.6367929577827454,-1.667517900466919,-0.3328411281108856,0.1487310528755188,-1.7293747663497925,-1.6620713472366333,-2.456937789916992
宣化,1.2283973693847656,-2.6327285766601562,-0.4332062005996704,-0.4784335792064667,0.522555410861969,-0.653106689453125,-3.242149591445923,1.0870616436004639
新窝铺,1.311281681060791,0.41231903433799744,-0.560344398021698,1.0955222845077515,3.0873353481292725,0.9336162209510803,-2.7689173221588135,-1.2884536981582642
四会,1.159545660018921,0.25100451707839966,-0.41284406185150146,-0.7530027031898499,0.11793313175439835,2.5873591899871826,-2.3666908740997314,-0.8249011039733887
丹阳北,-1.2128212451934814,-0.3740360736846924,-1.2148332595825195,0.7522334456443787,-1.1192246675491333,-0.6285830736160278,-1.4071584939956665,-0.9173287153244019
岳池,-0.10029702633619308,-0.8234768509864807,-0.2240380048751831,0.9245415925979614,-1.2984274625778198,0.09086783975362778,-1.9747453927993774,0.44837814569473267
许昌,2.2967529296875,-0.20703886449337006,0.19911137223243713,-0.9816724061965942,-0.04819198325276375,-0.893388569355011,-2.169173240661621,-2.163104772567749
潼南,0.6537865400314331,-1.2566450834274292,0.31435105204582214,1.5386688709259033,-1.7685450315475464,0.39173516631126404,-3.376067876815796,0.8760367631912231
华蓥,0.707025945186615,-0.19548654556274414,-0.14362689852714539,0.5058232545852661,-1.439233660697937,1.0171270370483398,-2.0974130630493164,0.3234728276729584
永郎,1.7731990814208984,-1.6171817779541016,-2.1122593879699707,2.3519821166992188,-1.0919053554534912,1.2225375175476074,-0.7259306907653809,-2.925114631652832
郑州东,1.3105850219726562,0.1330832988023758,-0.5340525507926941,-1.0803135633468628,-0.24531708657741547,-0.8230005502700806,-1.3433167934417725,-1.4122493267059326
都昌,1.7644838094711304,-2.3592255115509033,0.9795306921005249,-0.4121600389480591,1.7175474166870117,-1.4733963012695312,-2.9365453720092773,-1.6381934881210327
土贵乌拉,-0.6166574358940125,-3.2118313312530518,0.00813122559338808,0.35564130544662476,0.8963314890861511,-0.7171446681022644,-2.151935338973999,-1.094375491142273
董家口,0.6990958452224731,-2.189042329788208,-1.081660509109497,-0.9729829430580139,0.47408628463745117,-1.290134310722351,-1.9097870588302612,-0.01567905955016613
宜良北,1.8017563819885254,0.6779552102088928,1.1244102716445923,1.6929936408996582,0.46429651975631714,1.4158650636672974,-4.189090728759766,-0.7141318321228027
镇远,1.442865014076233,-3.3310744762420654,-1.868262529373169,0.5161261558532715,-1.1890084743499756,2.308448076248169,-1.3618144989013672,-0.9467142224311829
郭尔奔敖包,0.6872992515563965,-0.7731157541275024,1.429966688156128,-0.12863679230213165,-1.6314038038253784,-0.8461009860038757,-3.8304250240325928,-2.7047879695892334
南陵,0.19550420343875885,-1.6934454441070557,-0.11044252663850784,1.893898844718933,1.3427172899246216,-0.42803436517715454,-0.9073355793952942,-2.101560115814209
略阳,1.8407843112945557,-2.1109611988067627,-1.2691726684570312,3.176880121231079,-0.526219367980957,-1.0597319602966309,-1.5786677598953247,-0.8717432618141174
榕江,1.9983817338943481,0.2680398225784302,-0.051949985325336456,-0.3975332975387573,-1.440922498703003,1.1369799375534058,-2.150101661682129,-1.8583307266235352
兰考南,0.7397938966751099,-0.15865768492221832,-1.2564526796340942,-1.624941349029541,-0.7314955592155457,-1.479041576385498,-1.9602348804473877,-2.071312665939331
白洋淀,2.3437912464141846,-0.8544309735298157,-2.368436336517334,0.1839916855096817,0.48850998282432556,0.13799771666526794,-2.802269458770752,1.6673932075500488
将乐,-1.2020068168640137,-1.3277219533920288,0.5681704878807068,0.5700557231903076,1.6391844749450684,0.9352110028266907,-2.176802635192871,-3.0246434211730957
北安,-0.5400707721710205,1.606053113937378,-2.692117214202881,2.461254596710205,-1.13020920753479,1.3700215816497803,-4.429598808288574,0.6358365416526794
黄平,0.7972171902656555,-3.1254172325134277,-2.921670436859131,1.3810073137283325,-0.08872422575950623,1.0438318252563477,-0.7840131521224976,-1.0807123184204102
仙水,0.6384076476097107,-1.9466415643692017,0.09062043577432632,1.435192346572876,-1.2168643474578857,1.726775884628296,-1.475024700164795,-3.383491039276123
宁东南,-0.9452273845672607,-0.3036366105079651,-2.2701492309570312,-1.4776413440704346,0.8349166512489319,1.2451292276382446,-1.7462291717529297,-1.9475810527801514
玉田县,1.0405445098876953,-1.061844825744629,-0.48878228664398193,0.2475602924823761,2.2922656536102295,-0.4723595976829529,-3.017305612564087,0.8865687251091003
古莲,-0.20805448293685913,-0.9906823039054871,-0.15303130447864532,-0.8836883306503296,-0.6050601005554199,1.4849696159362793,-3.4829580783843994,0.35919806361198425
喜德,1.3455090522766113,0.272410124540329,-0.36860692501068115,2.52506947517395,0.25758305191993713,3.3203444480895996,-2.7380051612854004,-1.8055168390274048
会同,0.11605475842952728,-2.3114967346191406,-1.4117307662963867,-1.0432112216949463,-0.8203728795051575,2.4224023818969727,-1.4644445180892944,-1.852184772491455
遵义南,2.3263373374938965,0.2479100376367569,-0.13128019869327545,0.4577999711036682,-1.5144577026367188,0.9792445302009583,-2.312957525253296,-0.6294662952423096
兰岭,-0.3811401426792145,-0.27699872851371765,0.9462006688117981,1.7007691860198975,1.6220606565475464,-1.0359095335006714,-3.4870903491973877,-2.165923595428467
三关口,-0.9044812917709351,-1.8570115566253662,-3.931502342224121,-0.23775172233581543,0.8955088257789612,-0.28131580352783203,-1.235702395439148,-1.7321223020553589
渠县,0.835027277469635,-0.21129608154296875,-1.0327330827713013,1.2441271543502808,-3.0175909996032715,0.5147807598114014,-2.815908193588257,-0.09745943546295166
池州,1.0920161008834839,-3.8188915252685547,0.6095080971717834,1.4446319341659546,0.6081887483596802,-1.5284204483032227,-2.2304179668426514,-1.66245436668396
辰溪,-0.005060767754912376,-2.5371930599212646,-1.7369112968444824,-0.2745573818683624,-1.0564886331558228,2.0899391174316406,-1.2464147806167603,-1.2226771116256714
桐柏,1.9739617109298706,-0.5770430564880371,0.2771763801574707,1.028206467628479,-0.7014004588127136,-0.6871652007102966,-1.4391013383865356,-3.0203304290771484
青水山,-0.06763728708028793,-0.10406200587749481,-2.434389352798462,0.2852397859096527,-1.235859751701355,3.042301893234253,-1.8700668811798096,-1.4517678022384644
小岭,-0.6831807494163513,0.4763031601905823,-0.573557436466217,1.9345253705978394,0.30337202548980713,1.225865364074707,-1.4585126638412476,-2.364262342453003
镇城底,-0.7762131094932556,0.8187723755836487,-1.0017709732055664,-0.46082985401153564,0.11493390798568726,0.04382067546248436,-4.511691570281982,0.7630084753036499
金昌,0.04227667674422264,0.36325064301490784,-4.340744972229004,0.6206079721450806,0.1946188360452652,-0.7938823699951172,-2.178490161895752,-0.0684797540307045
十八台,-0.3318803012371063,-2.565809726715088,0.647553026676178,0.2890033721923828,1.2509033679962158,0.005493612959980965,-3.495216131210327,0.09673870354890823
三元坝,0.6175152659416199,-1.5160630941390991,-0.8872280120849609,3.5604028701782227,-2.1769986152648926,-0.445226788520813,-2.2858173847198486,-1.5900620222091675
帽儿山西,-0.030316466465592384,0.41654738783836365,-0.7749350666999817,2.63098406791687,-0.3739311397075653,1.335227131843567,-1.5170402526855469,-1.4776110649108887
朱家窑,0.15968559682369232,-0.23654372990131378,-2.1048061847686768,0.9563758969306946,2.927849769592285,-0.8297432065010071,-1.993455410003662,-1.077217698097229
芜湖北,-0.18371601402759552,-1.2911015748977661,-0.2063203901052475,0.9009475111961365,-0.13431979715824127,-0.7214778661727905,-0.690660297870636,-0.9467063546180725
丰城南,0.3955361843109131,-1.1975115537643433,0.6223421096801758,-0.19609378278255463,0.5346065759658813,0.48551619052886963,-1.2529473304748535,-0.6746587157249451
毕节,2.3500747680664062,0.5682502388954163,-0.3835819959640503,-0.1296236515045166,-2.1561996936798096,-0.6851333975791931,-2.9240288734436035,-0.6285405158996582
当雄,0.3006488084793091,1.2911162376403809,-0.6899275779724121,0.5638368129730225,-0.0009783904533833265,0.9891117215156555,-1.5104308128356934,-1.1140753030776978
息县,1.3825665712356567,-1.8722397089004517,-0.1265014410018921,-0.07844267040491104,-1.0019731521606445,-0.8905190825462341,-1.4306144714355469,-3.794970750808716
白彦花,-0.4111923277378082,-3.0813329219818115,-0.6700313091278076,-1.0183632373809814,-0.5820608139038086,0.8601643443107605,-2.6783835887908936,-0.2554914355278015
平湖,-1.1003047227859497,-0.21373195946216583,-2.1245009899139404,0.8763976097106934,0.07209709286689758,2.7266957759857178,-1.9272762537002563,-0.7367820143699646
东港北,-1.8805456161499023,-1.4980868101119995,-1.7761993408203125,0.39377251267433167,-0.5501336455345154,-0.8782433867454529,-3.8180363178253174,1.0453920364379883
安富镇,-0.23525550961494446,0.8235036134719849,-2.528679609298706,-1.7675747871398926,0.0030924032907932997,2.776516914367676,-3.623974561691284,-1.3352787494659424
德日斯图,3.0267386436462402,0.22445747256278992,-0.6771206855773926,0.24546338617801666,-2.3832955360412598,0.4192647635936737,-2.7214579582214355,-1.5934935808181763
乐跃,1.4190398454666138,-0.7597367167472839,-2.197211265563965,2.077298402786255,-1.5332781076431274,0.9989919662475586,-0.8604018092155457,-3.3639678955078125
沙沱,2.5199778079986572,-0.881010890007019,-1.5816633701324463,-0.5633479952812195,2.1840755939483643,-0.7707569599151611,-3.3975625038146973,0.5521513819694519
阜阳西,-0.8302383422851562,-1.806115746498108,-1.5297189950942993,-0.9157881736755371,0.8201674818992615,-1.9537229537963867,-1.8675799369812012,-3.456735610961914
蓬莱市,1.8547226190567017,-1.0318121910095215,-1.1443573236465454,-0.5402195453643799,1.2785940170288086,-1.8729946613311768,-1.940925121307373,-0.5285820960998535
大涧,-0.7304396033287048,0.2387971431016922,0.15417452156543732,0.7029666304588318,-0.6169640421867371,-0.03196502849459648,-4.740051746368408,0.37693625688552856
福利区,0.4411473870277405,0.6362286806106567,-2.6410412788391113,1.5666145086288452,2.4430179595947266,-1.4594874382019043,-2.9511308670043945,-0.19895903766155243
恩平,1.8254144191741943,-2.0787057876586914,-1.1114941835403442,0.4773310720920563,1.586795449256897,1.8928439617156982,-2.364495277404785,0.8881780505180359
无为,-0.17517295479774475,-2.2323567867279053,-0.3458385467529297,1.7034155130386353,0.48742619156837463,-0.5872438549995422,-0.7490543127059937,-2.4197402000427246
西平西,-0.3899683356285095,0.6442649364471436,-2.744419813156128,0.12047508358955383,-0.7755423188209534,-1.81783127784729,-2.0644352436065674,-2.13923716545105
建安,-1.2791837453842163,-0.6664618253707886,-1.4562630653381348,1.5183929204940796,0.28163355588912964,0.3378921449184418,-0.9871049523353577,-0.8796130418777466
乌拉山,-0.6264011859893799,-2.7475852966308594,-0.9990907311439514,-1.0022246837615967,-0.14552302658557892,1.1204131841659546,-2.5331850051879883,-0.08685437589883804
常德,0.027472050860524178,-1.1379640102386475,-0.580953061580658,1.8499010801315308,-2.939331531524658,2.8314571380615234,-2.85231876373291,-1.4601918458938599
一面坡,-0.6237202286720276,0.305465430021286,-0.7709361910820007,2.4898903369903564,0.44928672909736633,1.2514846324920654,-1.5369547605514526,-2.7944247722625732
乐清,0.1851436197757721,0.2904227375984192,-0.2806652784347534,-0.7170207500457764,1.3428354263305664,1.3326841592788696,-3.8616766929626465,0.6341208219528198
